method,rmse1,rmse10,rmse20,rmse5,seed
LSTM,4.806413687,5.904874814,6.113788281,6.284477546,15318
LSTM,5.350716588,6.386172913,7.677879593,5.759122092,51568
LSTM,3.312592821,3.96085507,5.48847952,2.457419803,48073
LSTM,5.847955512,4.016975595,5.288075867,5.037849735,86366
LSTM,1.558259697,3.064250908,4.497042054,2.227524863,69686
LSTM,2.320905162,4.976677315,6.381199399,2.819108138,28757
LSTM,4.948891735,4.841055668,5.221392728,6.167564571,8694
LSTM,1.882826276,4.600878748,4.928786229,3.575413978,24415
LSTM,3.611660237,5.241685946,5.269359198,4.81751962,16782
LSTM,3.5503768,3.496970558,4.084179182,2.28194213,1322
LSTM,2.715601778,4.853492531,5.269736471,2.531348901,89255
LSTM,9.541436261,6.594371239,6.84479538,7.315409907,61917
LSTM,8.301365016,10.2869021,9.793913004,10.00135616,46189
LSTM,6.807497498,7.205519768,7.260414258,7.16560095,46984
LSTM,1.16720769,3.315813259,4.388166599,1.260502709,18423
LSTM,3.766488086,5.352150105,7.098686953,3.886707371,96004
LSTM,5.660774831,6.894491559,7.256540944,5.980339927,22918
LSTM,5.787702157,6.648388882,6.253296759,5.824270068,27272
LSTM,1.799223758,6.984902163,5.445251002,8.896188841,26058
LSTM,5.35075192,7.367009076,7.069312946,7.59816271,4150
LSTM,5.034479876,7.504150544,7.295454566,7.062279589,9503
LSTM,6.298525358,9.176852591,8.938646274,8.079833364,91809
LSTM,6.6179828,9.99182475,9.884245173,10.79472306,16025
LSTM,5.741048939,3.813594651,3.979818803,4.190224224,38315
LSTM,3.980482318,6.34394774,6.545690051,5.355348613,88243
LSTM,0.158112224,3.629836369,4.513620093,3.675691544,77471
LSTM,8.578768853,7.675817738,6.903839063,7.19773098,91328
LSTM,2.268684949,5.050035303,5.649952849,3.543853176,93091
LSTM,4.949265625,6.411570854,6.085008815,5.272484633,52212
LSTM,4.863726349,4.637317991,4.746162983,4.441552742,93050
LSTM,3.75332682,5.107882092,5.130248986,5.309892227,69377
LSTM,2.026549708,8.645421867,6.647016065,8.442163113,96331
LSTM,1.823173159,4.606048666,4.773705218,4.03347576,97565
LSTM,2.926665006,4.952772994,5.190207178,4.816545925,19561
LSTM,5.562971487,6.354091805,6.613941743,5.953324256,60467
LSTM,4.654402187,2.07814954,4.196563447,2.889534774,28020
LSTM,3.20720273,3.967897809,4.89875751,2.836637053,11007
LSTM,4.848131593,5.828833517,5.203647104,5.771950647,66214
LSTM,3.667110902,3.489546923,4.139182451,4.777690448,79876
LSTM,7.717484099,5.589328726,5.352383459,7.619123393,37085
LSTM,4.92757296,3.304702746,3.328508249,3.55614588,54133
LSTM,2.574745399,6.612860698,6.895658852,7.675987897,30563
LSTM,3.744018236,2.976678179,3.870739218,2.626631901,6871
LSTM,5.430647206,5.695717533,5.777181762,5.599854509,89053
ARIMA,12.48137116,8.544028601,9.052008373,9.095053952,27272
ARIMA,8.496512598,6.658721479,7.072410341,6.804680652,52212
ARIMA,8.509410351,6.277389212,6.536041406,6.763032627,16025
ARIMA,9.733735663,5.773464717,5.769184907,6.68269506,38315
ARIMA,0.352256288,0.47001643,0.448463771,0.439449298,18423
ARIMA,0.605517673,7.690507298,7.667216814,6.903834882,28020
ARIMA,0.692465848,0.489135605,0.447392225,0.568842889,9503
ARIMA,9.13287445,6.915069011,6.492131689,7.687670747,4150
ARIMA,0.896520639,6.748696972,6.794650703,6.07692222,54133
ARIMA,6.858021524,4.689658825,3.900534325,5.310239149,67883
ARIMA,8.374363258,6.150655101,5.984422006,6.690650491,79876
ARIMA,6.7789235,4.631210753,4.396229961,5.143544427,66214
ARIMA,5.988443915,4.563330358,5.276948782,4.930784593,69377
ARIMA,7.82525473,5.372745769,5.245503529,6.034369221,6871
ARIMA,0.018941142,0.570389636,0.536978213,0.502558671,30563
ARIMA,0.438689104,0.408710022,0.588020705,0.406051936,48073
ARIMA,0.393768889,0.422413689,0.461664982,0.426371065,28757
ARIMA,10.4857343,6.301786566,6.259700914,7.36238366,91328
ARIMA,0.243113268,0.541883466,0.535742792,0.487388716,93091
ARIMA,11.98315663,8.217570433,6.885087659,9.210060908,15318
ARIMA,11.60084434,7.297747256,7.115932285,8.47604402,37085
ARIMA,6.009990152,4.337835055,4.787679471,4.61861445,86366
ARIMA,5.974261294,5.030419195,5.509043527,5.165282998,44769
ARIMA,0.344776123,0.336111442,0.361460162,0.342948023,29623
ARIMA,0.239638395,0.823762162,0.93721619,0.637402412,89053
ARIMA,9.755597532,7.619355262,8.480520553,7.712995026,89255
ARIMA,10.68696253,7.858180044,7.529258824,8.306546773,46984
ARIMA,10.30592035,7.407211926,7.339844129,8.126760834,16782
ARIMA,4.804394275,3.841040339,4.399391293,3.911348516,96004
ARIMA,1.354428883,1.503549519,2.879335287,1.315747473,11007
ARIMA,7.091619608,5.356568884,5.591969389,5.682527844,60467
ARIMA,8.798808687,5.887853443,6.261701837,6.596497289,91809
ARIMA,9.781610555,7.287705024,7.254280843,7.78469369,46189
ARIMA,10.18456579,7.019503081,6.71078519,7.800408073,69686
ARIMA,9.077253529,6.586612278,7.729393332,6.851336748,7296
ARIMA,0.060962748,0.492015811,0.491784446,0.415847571,60590
ARIMA,6.692962172,4.659216122,4.045538863,5.312655699,26058
ARIMA,5.097960515,4.110250917,4.669426921,4.318105127,93050
ARIMA,9.326057343,6.590293391,6.834691732,7.074529178,96331
ARIMA,12.15060025,9.224253546,9.539790347,10.0691796,19561
ARIMA,5.432014713,4.014864663,4.640980158,4.239804966,77471
ARIMA,12.35180319,8.89609218,8.62338401,9.536290834,22918
ARIMA,13.39726543,9.256367906,9.034829183,9.963242628,88243
ARIMA,0.0025778,0.550729125,0.498841043,0.530205517,49858
ARIMA,0.522364595,1.006929811,0.957554362,0.969698014,1322
ARIMA,6.733828302,4.971507978,5.04825689,5.568666363,51568
ARIMA,2.311308712,3.096856726,4.826618366,2.552254776,97565
ARIMA,0.067875669,0.436411573,0.458819917,0.404853641,61917
ARIMA,8.251156018,5.888074844,6.245476161,6.569712401,8694
DE-GP,0.062165941,0.032885486,0.037345283,0.043308839,26058
