train_size,horizon,method1,method2,pvalue
70,1,ARIMA,ARIMA,NaN
70,1,ARIMA,RandomWalk,0.9909494180987395
70,1,ARIMA,LSTM,8.47799601612616e-5
70,1,ARIMA,GP,3.156791934961324e-7
70,1,ARIMA,UDE-NN,1.6844891311199373e-6
70,1,RandomWalk,ARIMA,0.9909494180987395
70,1,RandomWalk,RandomWalk,NaN
70,1,RandomWalk,LSTM,0.0001127796815190276
70,1,RandomWalk,GP,5.123563161379866e-7
70,1,RandomWalk,UDE-NN,2.385184748573037e-6
70,1,LSTM,ARIMA,8.47799601612616e-5
70,1,LSTM,RandomWalk,0.0001127796815190276
70,1,LSTM,LSTM,NaN
70,1,LSTM,GP,1.3930685291477465e-11
70,1,LSTM,UDE-NN,1.0639784275108505e-10
70,1,GP,ARIMA,3.156791934961324e-7
70,1,GP,RandomWalk,5.123563161379866e-7
70,1,GP,LSTM,1.3930685291477465e-11
70,1,GP,GP,NaN
70,1,GP,UDE-NN,0.8707316822088792
70,1,UDE-NN,ARIMA,1.6844891311199373e-6
70,1,UDE-NN,RandomWalk,2.385184748573037e-6
70,1,UDE-NN,LSTM,1.0639784275108505e-10
70,1,UDE-NN,GP,0.8707316822088792
70,1,UDE-NN,UDE-NN,NaN
70,5,ARIMA,ARIMA,NaN
70,5,ARIMA,RandomWalk,0.4293751066208284
70,5,ARIMA,LSTM,0.00010259775927293682
70,5,ARIMA,GP,0.007074575789315688
70,5,ARIMA,UDE-NN,0.027620293462967172
70,5,RandomWalk,ARIMA,0.4293751066208284
70,5,RandomWalk,RandomWalk,NaN
70,5,RandomWalk,LSTM,0.00031815686744504857
70,5,RandomWalk,GP,0.00031815686744504857
70,5,RandomWalk,UDE-NN,0.0015182446107907539
70,5,LSTM,ARIMA,0.00010259775927293682
70,5,LSTM,RandomWalk,0.00031815686744504857
70,5,LSTM,LSTM,NaN
70,5,LSTM,GP,9.275843302560678e-9
70,5,LSTM,UDE-NN,5.052794215861404e-8
70,5,GP,ARIMA,0.007074575789315688
70,5,GP,RandomWalk,0.00031815686744504857
70,5,GP,LSTM,9.275843302560678e-9
70,5,GP,GP,NaN
70,5,GP,UDE-NN,0.6310500008692745
70,5,UDE-NN,ARIMA,0.027620293462967172
70,5,UDE-NN,RandomWalk,0.0015182446107907539
70,5,UDE-NN,LSTM,5.052794215861404e-8
70,5,UDE-NN,GP,0.6310500008692745
70,5,UDE-NN,UDE-NN,NaN
70,10,ARIMA,ARIMA,NaN
70,10,ARIMA,RandomWalk,0.9909494180987395
70,10,ARIMA,LSTM,0.0006363501924904263
70,10,ARIMA,GP,0.004104069415468011
70,10,ARIMA,UDE-NN,0.015798889647548938
70,10,RandomWalk,ARIMA,0.9909494180987395
70,10,RandomWalk,RandomWalk,NaN
70,10,RandomWalk,LSTM,0.0004141616668792326
70,10,RandomWalk,GP,0.004631155589964512
70,10,RandomWalk,UDE-NN,0.015798889647548938
70,10,LSTM,ARIMA,0.0006363501924904263
70,10,LSTM,RandomWalk,0.0004141616668792326
70,10,LSTM,LSTM,NaN
70,10,LSTM,GP,7.274547629202349e-8
70,10,LSTM,UDE-NN,3.3934820792263925e-7
70,10,GP,ARIMA,0.004104069415468011
70,10,GP,RandomWalk,0.004631155589964512
70,10,GP,LSTM,7.274547629202349e-8
70,10,GP,GP,NaN
70,10,GP,UDE-NN,0.6254170398757251
70,10,UDE-NN,ARIMA,0.015798889647548938
70,10,UDE-NN,RandomWalk,0.015798889647548938
70,10,UDE-NN,LSTM,3.3934820792263925e-7
70,10,UDE-NN,GP,0.6254170398757251
70,10,UDE-NN,UDE-NN,NaN
70,15,ARIMA,ARIMA,NaN
70,15,ARIMA,RandomWalk,0.5228130282253023
70,15,ARIMA,LSTM,0.0012662398723851203
70,15,ARIMA,GP,0.002978534492466501
70,15,ARIMA,UDE-NN,0.009295595235587805
70,15,RandomWalk,ARIMA,0.5228130282253023
70,15,RandomWalk,RandomWalk,NaN
70,15,RandomWalk,LSTM,0.00019096308602938763
70,15,RandomWalk,GP,0.025597712300643047
70,15,RandomWalk,UDE-NN,0.06997088342377575
70,15,LSTM,ARIMA,0.0012662398723851203
70,15,LSTM,RandomWalk,0.00019096308602938763
70,15,LSTM,LSTM,NaN
70,15,LSTM,GP,6.384587442006744e-8
70,15,LSTM,UDE-NN,1.9571268057101205e-7
70,15,GP,ARIMA,0.002978534492466501
70,15,GP,RandomWalk,0.025597712300643047
70,15,GP,LSTM,6.384587442006744e-8
70,15,GP,GP,NaN
70,15,GP,UDE-NN,0.7298663273441387
70,15,UDE-NN,ARIMA,0.009295595235587805
70,15,UDE-NN,RandomWalk,0.06997088342377575
70,15,UDE-NN,LSTM,1.9571268057101205e-7
70,15,UDE-NN,GP,0.7298663273441387
70,15,UDE-NN,UDE-NN,NaN
220,1,ARIMA,ARIMA,NaN
220,1,ARIMA,RandomWalk,1.0
220,1,ARIMA,LSTM,0.0008668797970518953
220,1,ARIMA,GP,0.007209355648221471
220,1,ARIMA,UDE-NN,0.02906565820987117
220,1,RandomWalk,ARIMA,1.0
220,1,RandomWalk,RandomWalk,NaN
220,1,RandomWalk,LSTM,0.000652980392077043
220,1,RandomWalk,GP,0.012401728825363164
220,1,RandomWalk,UDE-NN,0.04114657868098234
220,1,LSTM,ARIMA,0.0008668797970518953
220,1,LSTM,RandomWalk,0.000652980392077043
220,1,LSTM,LSTM,NaN
220,1,LSTM,GP,1.1171437950644119e-7
220,1,LSTM,UDE-NN,7.846552723277207e-7
220,1,GP,ARIMA,0.007209355648221471
220,1,GP,RandomWalk,0.012401728825363164
220,1,GP,LSTM,1.1171437950644119e-7
220,1,GP,GP,NaN
220,1,GP,UDE-NN,0.597581418547356
220,1,UDE-NN,ARIMA,0.02906565820987117
220,1,UDE-NN,RandomWalk,0.04114657868098234
220,1,UDE-NN,LSTM,7.846552723277207e-7
220,1,UDE-NN,GP,0.597581418547356
220,1,UDE-NN,UDE-NN,NaN
220,5,ARIMA,ARIMA,NaN
220,5,ARIMA,RandomWalk,0.8882131684425458
220,5,ARIMA,LSTM,0.0013479797509924694
220,5,ARIMA,GP,0.08425448723953183
220,5,ARIMA,UDE-NN,0.02146359177053452
220,5,RandomWalk,ARIMA,0.8882131684425458
220,5,RandomWalk,RandomWalk,NaN
220,5,RandomWalk,LSTM,0.0008668797970518953
220,5,RandomWalk,GP,0.1187998215537527
220,5,RandomWalk,UDE-NN,0.027932744179832405
220,5,LSTM,ARIMA,0.0013479797509924694
220,5,LSTM,RandomWalk,0.0008668797970518953
220,5,LSTM,LSTM,NaN
220,5,LSTM,GP,4.557286044077245e-6
220,5,LSTM,UDE-NN,1.0788930398080982e-6
220,5,GP,ARIMA,0.08425448723953183
220,5,GP,RandomWalk,0.1187998215537527
220,5,GP,LSTM,4.557286044077245e-6
220,5,GP,GP,NaN
220,5,GP,UDE-NN,0.5489565914907543
220,5,UDE-NN,ARIMA,0.02146359177053452
220,5,UDE-NN,RandomWalk,0.027932744179832405
220,5,UDE-NN,LSTM,1.0788930398080982e-6
220,5,UDE-NN,GP,0.5489565914907543
220,5,UDE-NN,UDE-NN,NaN
220,10,ARIMA,ARIMA,NaN
220,10,ARIMA,RandomWalk,0.8574575517391098
220,10,ARIMA,LSTM,0.0009427388536120903
220,10,ARIMA,GP,0.4627867894404524
220,10,ARIMA,UDE-NN,0.12300971577948056
220,10,RandomWalk,ARIMA,0.8574575517391098
220,10,RandomWalk,RandomWalk,NaN
220,10,RandomWalk,LSTM,0.0006719207527491417
220,10,RandomWalk,GP,0.5489565914907543
220,10,RandomWalk,UDE-NN,0.17546244246713757
220,10,LSTM,ARIMA,0.0009427388536120903
220,10,LSTM,RandomWalk,0.0006719207527491417
220,10,LSTM,LSTM,NaN
220,10,LSTM,GP,0.00014567025610004802
220,10,LSTM,UDE-NN,1.120438173746273e-5
220,10,GP,ARIMA,0.4627867894404524
220,10,GP,RandomWalk,0.5489565914907543
220,10,GP,LSTM,0.00014567025610004802
220,10,GP,GP,NaN
220,10,GP,UDE-NN,0.3348075047230283
220,10,UDE-NN,ARIMA,0.12300971577948056
220,10,UDE-NN,RandomWalk,0.17546244246713757
220,10,UDE-NN,LSTM,1.120438173746273e-5
220,10,UDE-NN,GP,0.3348075047230283
220,10,UDE-NN,UDE-NN,NaN
220,15,ARIMA,ARIMA,NaN
220,15,ARIMA,RandomWalk,0.8026690886173331
220,15,ARIMA,LSTM,0.0005820754239333197
220,15,ARIMA,GP,0.7298663273441387
220,15,ARIMA,UDE-NN,0.1410255806608154
220,15,RandomWalk,ARIMA,0.8026690886173331
220,15,RandomWalk,RandomWalk,NaN
220,15,RandomWalk,LSTM,0.00037516287166361586
220,15,RandomWalk,GP,0.8613649732617609
220,15,RandomWalk,UDE-NN,0.1895523076079434
220,15,LSTM,ARIMA,0.0005820754239333197
220,15,LSTM,RandomWalk,0.00037516287166361586
220,15,LSTM,LSTM,NaN
220,15,LSTM,GP,0.00024129274275345446
220,15,LSTM,UDE-NN,1.0056837558087635e-5
220,15,GP,ARIMA,0.7298663273441387
220,15,GP,RandomWalk,0.8613649732617609
220,15,GP,LSTM,0.00024129274275345446
220,15,GP,GP,NaN
220,15,GP,UDE-NN,0.26472230677041153
220,15,UDE-NN,ARIMA,0.1410255806608154
220,15,UDE-NN,RandomWalk,0.1895523076079434
220,15,UDE-NN,LSTM,1.0056837558087635e-5
220,15,UDE-NN,GP,0.26472230677041153
220,15,UDE-NN,UDE-NN,NaN
300,1,ARIMA,ARIMA,NaN
300,1,ARIMA,RandomWalk,0.9052164216498768
300,1,ARIMA,LSTM,0.2462012991224325
300,1,ARIMA,GP,0.5649463155152061
300,1,ARIMA,UDE-NN,0.3890834434222739
300,1,RandomWalk,ARIMA,0.9052164216498768
300,1,RandomWalk,RandomWalk,NaN
300,1,RandomWalk,LSTM,0.334811353484011
300,1,RandomWalk,GP,0.7316194121018593
300,1,RandomWalk,UDE-NN,0.3900934758240798
300,1,LSTM,ARIMA,0.2462012991224325
300,1,LSTM,RandomWalk,0.334811353484011
300,1,LSTM,LSTM,NaN
300,1,LSTM,GP,0.7120402381000334
300,1,LSTM,UDE-NN,0.05728198371030226
300,1,GP,ARIMA,0.5649463155152061
300,1,GP,RandomWalk,0.7316194121018593
300,1,GP,LSTM,0.7120402381000334
300,1,GP,GP,NaN
300,1,GP,UDE-NN,0.2371084324942837
300,1,UDE-NN,ARIMA,0.3890834434222739
300,1,UDE-NN,RandomWalk,0.3900934758240798
300,1,UDE-NN,LSTM,0.05728198371030226
300,1,UDE-NN,GP,0.2371084324942837
300,1,UDE-NN,UDE-NN,NaN
300,5,ARIMA,ARIMA,NaN
300,5,ARIMA,RandomWalk,0.975080701684202
300,5,ARIMA,LSTM,0.31564523022287827
300,5,ARIMA,GP,0.0028906971802690187
300,5,ARIMA,UDE-NN,0.06943339204474737
300,5,RandomWalk,ARIMA,0.975080701684202
300,5,RandomWalk,RandomWalk,NaN
300,5,RandomWalk,LSTM,0.20445871805841076
300,5,RandomWalk,GP,0.0018099711030671694
300,5,RandomWalk,UDE-NN,0.10683296818356246
300,5,LSTM,ARIMA,0.31564523022287827
300,5,LSTM,RandomWalk,0.20445871805841076
300,5,LSTM,LSTM,NaN
300,5,LSTM,GP,0.18823981606960755
300,5,LSTM,UDE-NN,0.016869458445277197
300,5,GP,ARIMA,0.0028906971802690187
300,5,GP,RandomWalk,0.0018099711030671694
300,5,GP,LSTM,0.18823981606960755
300,5,GP,GP,NaN
300,5,GP,UDE-NN,4.6515088511079364e-5
300,5,UDE-NN,ARIMA,0.06943339204474737
300,5,UDE-NN,RandomWalk,0.10683296818356246
300,5,UDE-NN,LSTM,0.016869458445277197
300,5,UDE-NN,GP,4.6515088511079364e-5
300,5,UDE-NN,UDE-NN,NaN
300,10,ARIMA,ARIMA,NaN
300,10,ARIMA,RandomWalk,0.7666577738362448
300,10,ARIMA,LSTM,0.39684548568692657
300,10,ARIMA,GP,0.0008194186218233127
300,10,ARIMA,UDE-NN,0.011027535290772305
300,10,RandomWalk,ARIMA,0.7666577738362448
300,10,RandomWalk,RandomWalk,NaN
300,10,RandomWalk,LSTM,0.2624662962663671
300,10,RandomWalk,GP,0.00029961767514823014
300,10,RandomWalk,UDE-NN,0.02765283782348855
300,10,LSTM,ARIMA,0.39684548568692657
300,10,LSTM,RandomWalk,0.2624662962663671
300,10,LSTM,LSTM,NaN
300,10,LSTM,GP,0.06591487510163621
300,10,LSTM,UDE-NN,0.0065003931156977605
300,10,GP,ARIMA,0.0008194186218233127
300,10,GP,RandomWalk,0.00029961767514823014
300,10,GP,LSTM,0.06591487510163621
300,10,GP,GP,NaN
300,10,GP,UDE-NN,5.680592661543255e-7
300,10,UDE-NN,ARIMA,0.011027535290772305
300,10,UDE-NN,RandomWalk,0.02765283782348855
300,10,UDE-NN,LSTM,0.0065003931156977605
300,10,UDE-NN,GP,5.680592661543255e-7
300,10,UDE-NN,UDE-NN,NaN
300,15,ARIMA,ARIMA,NaN
300,15,ARIMA,RandomWalk,0.7077783814620476
300,15,ARIMA,LSTM,0.2691755985933122
300,15,ARIMA,GP,0.0007636072560906114
300,15,ARIMA,UDE-NN,0.011920673958219313
300,15,RandomWalk,ARIMA,0.7077783814620476
300,15,RandomWalk,RandomWalk,NaN
300,15,RandomWalk,LSTM,0.14529181974715255
300,15,RandomWalk,GP,0.0003806368654167855
300,15,RandomWalk,UDE-NN,0.04475518326760968
300,15,LSTM,ARIMA,0.2691755985933122
300,15,LSTM,RandomWalk,0.14529181974715255
300,15,LSTM,LSTM,NaN
300,15,LSTM,GP,0.08230141000651148
300,15,LSTM,UDE-NN,0.0028180874386884622
300,15,GP,ARIMA,0.0007636072560906114
300,15,GP,RandomWalk,0.0003806368654167855
300,15,GP,LSTM,0.08230141000651148
300,15,GP,GP,NaN
300,15,GP,UDE-NN,9.959193437055753e-7
300,15,UDE-NN,ARIMA,0.011920673958219313
300,15,UDE-NN,RandomWalk,0.04475518326760968
300,15,UDE-NN,LSTM,0.0028180874386884622
