method,seed,train_size,r,K,h,time,rmseC,rmseC_alg,f1_1,f1_2,f1_3,macro_f1,weighted_f1,f1_1_dip,f1_2_dip,f1_3_dip,macro_f1_dip,weighted_f1_dip,rmse1,rmse5,rmse10,rmse12,rmse15,mae1,mae5,mae10,mae12,mae15,mape1,mape5,mape10,mape12,mape15,x_forecast,c_predicted
UDE-NN,96004,70,1,10,1,97.574,0.11379,0.28384,1,0,0,0.33333,1,1,0,0,0.33333,1,0.3736,0.52449,1.17131,1.47469,1.59403,0.3736,0.49468,0.87465,1.13924,1.30727,14.54458,19.91586,20.95988,23.45692,24.57449,"[2.94223, 2.97322, 3.03616, 3.12706, 3.24274, 3.3802, 3.5362, 3.70711, 3.88881, 4.07684, 4.26668, 4.45414, 4.63565, 4.80859, 4.97131, 5.1231, 5.264, 5.39457, 5.51564, 5.62818]","[-0.26912, -0.20322, -0.09318, -0.15434, -0.00709, -0.07297, -0.09328, -0.13656, -0.09728, 0.1271, 0.1799, 0.1184, 0.19852, 0.06927, 0.08678, 0.06999, 0.16981, 0.10882, 0.02162, -0.00011, 0.07633, 0.18468, 0.18638, 0.12783, 0.1977, 0.19204, 0.28264, 0.28556, 0.31479, 0.36295, 0.4185, 0.48623, 0.40266, 0.16967, 0.09265, 0.06659, 0.09513, 0.27155, 0.34897, 0.38005, 0.40572, 0.39383, 0.29943, 0.30294, 0.38538, 0.44794, 0.47188, 0.51907, 0.53683, 0.48519, 0.44082, 0.40463, 0.49768, 0.43959, 0.35839, 0.55062, 0.51905, 0.72433, 0.73249, 0.63612, 0.6987, 0.66896, 0.63445, 0.6522, 0.64351, 0.56095, 0.52316, 0.61002, 0.66576, 0.67941]"
GP,96004,70,1,10,1,211.729,0.04785,0.28384,1,0,0,0.33333,1,1,0,0,0.33333,1,0.36054,0.49937,1.17235,1.4724,1.5833,0.36054,0.46875,0.86525,1.12949,1.29222,14.03632,18.90285,20.50143,23.04624,24.1394,"[2.92918, 2.95084, 3.00748, 3.0948, 3.20945, 3.34839, 3.5083, 3.68536, 3.87513, 4.07267, 4.27288, 4.47094, 4.66274, 4.84521, 5.01647, 5.17575, 5.32317, 5.45943, 5.58555, 5.70265]","[-0.08366, -0.07239, -0.06112, -0.04985, -0.03858, -0.02731, -0.01604, -0.00477, 0.0065, 0.01777, 0.02904, 0.04031, 0.05158, 0.06285, 0.07412, 0.08539, 0.09666, 0.10793, 0.1192, 0.13047, 0.14174, 0.15301, 0.16428, 0.17555, 0.18682, 0.19809, 0.20936, 0.22063, 0.2319, 0.24317, 0.25444, 0.26571, 0.27698, 0.28825, 0.29952, 0.31079, 0.32206, 0.33333, 0.3446, 0.35587, 0.36714, 0.37841, 0.38968, 0.40095, 0.41222, 0.42349, 0.43476, 0.44603, 0.4573, 0.46857, 0.47984, 0.49111, 0.50238, 0.51365, 0.52492, 0.53619, 0.54746, 0.55873, 0.57, 0.58127, 0.59254, 0.60381, 0.61508, 0.62635, 0.63762, 0.64889, 0.66016, 0.67142, 0.68269, 0.69396]"
ARIMA,96004,70,1,10,1,18.438,,,,,,,,,,,,,0.44702,0.48548,1.66164,2.17804,2.58464,0.44702,0.4354,1.19426,1.63182,2.06179,17.40304,17.78615,26.67074,31.54574,36.35991,"[3.01566, 2.99995, 3.00365, 3.00277, 3.00298, 3.00293, 3.00294, 3.00294, 3.00294, 3.00294, 3.00294, 3.00294, 3.00294, 3.00294, 3.00294, 3.00294, 3.00294, 3.00294, 3.00294, 3.00294]",
RandomWalk,96004,70,1,10,1,1.647,,,,,,,,,,,,,0.38029,0.43574,1.68674,2.20979,2.62185,0.38029,0.37933,1.19322,1.63997,2.07911,14.80524,15.58793,26.15118,31.24491,36.27891,"[2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893]",
LSTM,96004,70,1,10,1,43.553,,,,,,,,,,,,,2.16083,3.13456,4.5478,5.07614,5.54811,2.16083,3.08428,4.30174,4.77642,5.24539,84.12384,120.00094,116.53514,114.57943,112.65849,"[0.4078, -0.51823, -0.65198, -0.93908, -0.87195, -0.87607, -0.63964, -0.53223, -0.41307, -0.35475, -0.33157, -0.32289, -0.33341, -0.33714, -0.33947, -0.34067, -0.34112, -0.34195, -0.34224, -0.34251]",
Alg_c,96004,70,1,10,1,0,0.28384,0.28384,1,0,0,0.33333,1,1,0,0,0.33333,1,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.2638, 0.0, 0.43259, 0.0, 0.0, 0.0, 0.0, 0.43866, 0.40245, 0.0, 0.68644, 0.0, 0.23406, 0.0, 0.53025, 0.12884, 0.0, 0.0, 0.02763, 0.39159, 0.34396, 0.0, 0.46713, 0.0, 0.53317, 0.18022, 0.28573, 0.35713, 0.33589, 0.75364, 0.71733, 0.0, 0.01223, 0.0, 0.0, 0.46073, 0.41071, 0.3775, 0.47219, 0.5525, 0.11365, 0.15193, 0.417, 0.52785, 0.4141, 0.57229, 0.68021, 0.44142, 0.48779, 0.03302, 0.89294, 0.54139, 0.0, 1.26337, 0.0, 1.24938, 1.00925, 0.0, 1.09381, 0.64753, 0.45492, 0.70232, 0.89201, 0.46263, 0.17816, 0.77057, 0.76868]"
UDE-NN,19561,70,1,10,1,88.483,0.08679,0.20063,1,0,0,0.33333,1,0.82353,0,0,0.27451,0.57647,0.14941,1.0226,1.03272,1.08138,0.97098,0.14941,0.86191,0.89026,0.9501,0.79053,2.18821,16.00786,13.98594,14.12632,11.73748,"[6.67844, 6.5778, 6.57975, 6.62308, 6.68329, 6.74955, 6.81693, 6.88322, 6.94749, 7.00936, 7.06873, 7.12562, 7.18008, 7.2322, 7.28205, 7.32973, 7.3753, 7.41885, 7.46045, 7.50017]","[-0.07408, -0.07431, -0.10787, -0.02556, -0.00902, 0.01238, -0.0179, -0.10452, 0.0227, 0.10122, 0.3008, 0.32105, 0.1848, 0.14478, 0.1303, 0.13412, 0.10271, 0.03634, 0.00997, 0.13288, 0.14124, 0.22515, 0.21938, 0.29151, 0.30852, 0.33376, 0.40627, 0.29532, 0.2421, 0.28577, 0.22057, 0.23691, 0.20216, 0.30991, 0.38772, 0.51947, 0.48457, 0.48303, 0.44158, 0.40275, 0.3969, 0.41687, 0.40719, 0.44258, 0.5174, 0.57374, 0.62867, 0.58449, 0.57607, 0.4972, 0.4188, 0.44279, 0.47942, 0.539, 0.61754, 0.62785, 0.64753, 0.58215, 0.47585, 0.49989, 0.48939, 0.48984, 0.63136, 0.66748, 0.6336, 0.58951, 0.54745, 0.59404, 0.64742, 0.65808]"
GP,19561,70,1,10,1,217.365,0.02793,0.20063,1,0,0,0.33333,1,0.82353,0,0,0.27451,0.57647,0.13849,1.04334,1.03087,1.07045,0.96326,0.13849,0.87902,0.89297,0.94399,0.79544,2.02834,16.32821,14.10012,14.12087,11.872,"[6.68935, 6.59508, 6.60203, 6.64963, 6.71363, 6.78335, 6.85397, 6.92335, 6.99059, 7.05536, 7.11758, 7.17727, 7.2345, 7.28935, 7.34191, 7.39227, 7.44052, 7.48672, 7.53096, 7.57332]","[0.05017, 0.05882, 0.06747, 0.07611, 0.08476, 0.09341, 0.10206, 0.11071, 0.11936, 0.12801, 0.13666, 0.14531, 0.15395, 0.1626, 0.17125, 0.1799, 0.18855, 0.1972, 0.20585, 0.2145, 0.22315, 0.2318, 0.24044, 0.24909, 0.25774, 0.26639, 0.27504, 0.28369, 0.29234, 0.30099, 0.30964, 0.31829, 0.32694, 0.33559, 0.34424, 0.35288, 0.36153, 0.37018, 0.37883, 0.38748, 0.39613, 0.40478, 0.41343, 0.42208, 0.43073, 0.43938, 0.44802, 0.45667, 0.46532, 0.47397, 0.48262, 0.49127, 0.49992, 0.50857, 0.51722, 0.52587, 0.53451, 0.54316, 0.55181, 0.56046, 0.56911, 0.57776, 0.58641, 0.59506, 0.60371, 0.61235, 0.621, 0.62965, 0.6383, 0.64695]"
ARIMA,19561,70,1,10,1,18.698,,,,,,,,,,,,,1.0388,2.96194,2.72184,2.60319,2.75785,1.0388,2.75415,2.5471,2.43367,2.60745,15.21412,49.83615,41.64736,38.46708,40.10455,"[7.86664, 8.24351, 8.63122, 8.94516, 9.21584, 9.44516, 9.64038, 9.80635, 9.94751, 10.06754, 10.16962, 10.25643, 10.33026, 10.39304, 10.44643, 10.49183, 10.53044, 10.56328, 10.5912, 10.61495]",
RandomWalk,19561,70,1,10,1,1.213,,,,,,,,,,,,,0.25882,1.41251,1.23652,1.24739,1.11775,0.25882,1.26034,1.10817,1.13344,0.9343,3.79069,23.09655,17.97826,17.47646,14.36774,"[7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667]",
