AutoAR_time,method,rmse1,rmse10,rmse20,rmse5,seed
44358 milliseconds,ARIMA,12.48137116147299,8.54402860146421,9.052008372707293,9.09505395158956,27272
127397 milliseconds,ARIMA,8.49651259760934,6.658721479409555,7.072410340697008,6.804680651849911,52212
127357 milliseconds,ARIMA,8.50941035092079,6.27738921176615,6.536041405885221,6.763032626920902,16025
44570 milliseconds,ARIMA,9.733735662652707,5.7734647170080375,5.769184907265612,6.682695059735558,38315
39715 milliseconds,ARIMA,0.3522562878168164,0.47001643041110014,0.4484637712530264,0.43944929824056633,18423
226121 milliseconds,ARIMA,0.6055176731924305,7.690507297533322,7.667216813868313,6.90383488234752,28020
229788 milliseconds,ARIMA,0.6924658478623921,0.4891356045548972,0.44739222450687244,0.5688428890609641,9503
41966 milliseconds,ARIMA,9.132874449866385,6.91506901112638,6.492131688847031,7.687670747446375,4150
60180 milliseconds,ARIMA,0.8965206389922926,6.7486969717603875,6.79465070294033,6.076922219615325,54133
285964 milliseconds,ARIMA,6.8580215237256965,4.689658824616893,3.90053432469617,5.3102391491741034,67883
256818 milliseconds,ARIMA,8.374363258108673,6.150655101160534,5.9844220061193365,6.690650490716491,79876
268117 milliseconds,ARIMA,6.778923499579394,4.631210753112353,4.3962299614850595,5.143544427224599,66214
359369 milliseconds,ARIMA,5.988443914779285,4.563330357547723,5.276948782226945,4.930784593422649,69377
131247 milliseconds,ARIMA,7.8252547298624755,5.372745768793488,5.245503528574069,6.034369220715248,6871
226089 milliseconds,ARIMA,0.018941142049832604,0.5703896362393978,0.5369782128615451,0.5025586710288048,30563
407597 milliseconds,ARIMA,0.4386891039800419,0.4087100224966811,0.588020704986706,0.40605193554942376,48073
355731 milliseconds,ARIMA,0.39376888909053587,0.4224136888751147,0.4616649824504145,0.4263710652166218,28757
368935 milliseconds,ARIMA,10.485734295471442,6.301786565717721,6.259700914214357,7.362383660361877,91328
396769 milliseconds,ARIMA,0.24311326806418743,0.5418834659780016,0.5357427922863,0.48738871637855746,93091
362219 milliseconds,ARIMA,11.983156626960051,8.217570432752222,6.885087658574121,9.210060907711751,15318
258759 milliseconds,ARIMA,11.600844343640544,7.297747256425826,7.11593228457682,8.476044019505409,37085
380179 milliseconds,ARIMA,6.009990151970951,4.337835055380102,4.787679471460898,4.61861444955208,86366
516638 milliseconds,ARIMA,5.974261293687254,5.030419195419372,5.5090435273315785,5.165282997690128,44769
406043 milliseconds,ARIMA,0.3447761228784212,0.33611144224348444,0.3614601620347905,0.3429480228444531,29623
326737 milliseconds,ARIMA,0.23963839458916614,0.8237621624575276,0.9372161896879883,0.6374024119634369,89053
379504 milliseconds,ARIMA,9.755597532260246,7.619355261948593,8.480520553271848,7.712995025568455,89255
406241 milliseconds,ARIMA,10.68696253124165,7.858180043803997,7.529258823772498,8.306546773370629,46984
398055 milliseconds,ARIMA,10.305920354060142,7.407211926375309,7.339844129290143,8.126760834224925,16782
466044 milliseconds,ARIMA,4.804394275088277,3.8410403385968026,4.39939129310642,3.911348516106326,96004
755368 milliseconds,ARIMA,1.3544288830763702,1.5035495189966421,2.879335287412682,1.315747472989502,11007
725854 milliseconds,ARIMA,7.091619608298338,5.356568883985527,5.591969388994811,5.682527843770839,60467
802811 milliseconds,ARIMA,8.798808686731324,5.8878534431576295,6.261701836545401,6.596497288817721,91809
842859 milliseconds,ARIMA,9.781610555485516,7.287705023836484,7.2542808434848265,7.7846936902429995,46189
733667 milliseconds,ARIMA,10.18456579286446,7.019503080582643,6.71078519002295,7.800408072770678,69686
902741 milliseconds,ARIMA,9.077253528960906,6.586612277894911,7.729393331725692,6.85133674790485,7296
950048 milliseconds,ARIMA,0.06096274846502914,0.4920158109131703,0.491784445544379,0.41584757059195604,60590
1003457 milliseconds,ARIMA,6.692962172370962,4.659216122303809,4.045538862810099,5.312655698843394,26058
1106427 milliseconds,ARIMA,5.09796051503174,4.110250916535148,4.669426921232882,4.318105127199904,93050
1470491 milliseconds,ARIMA,9.326057343426884,6.590293390535113,6.834691732396374,7.074529178055345,96331
1581388 milliseconds,ARIMA,12.15060025310665,9.22425354616834,9.539790347010786,10.06917959851234,19561
1866808 milliseconds,ARIMA,5.432014713227895,4.014864663077589,4.640980157929563,4.239804966184993,77471
1995605 milliseconds,ARIMA,12.35180319027741,8.896092179762126,8.623384009618203,9.536290834314961,22918
2643927 milliseconds,ARIMA,13.397265428641912,9.256367905911219,9.034829182981671,9.963242628493758,88243
2726491 milliseconds,ARIMA,0.0025778003113162695,0.5507291247254853,0.49884104301158255,0.5302055173351464,49858
3028559 milliseconds,ARIMA,0.522364594756538,1.0069298109616018,0.957554362116766,0.9696980137389937,1322
2996716 milliseconds,ARIMA,6.733828302013351,4.971507977825295,5.048256889548592,5.568666363285794,51568
3333690 milliseconds,ARIMA,2.3113087121508427,3.096856725954028,4.826618365897866,2.5522547762495233,97565
3468056 milliseconds,ARIMA,0.06787566903864611,0.4364115725616694,0.4588199171240101,0.4048536407901023,61917
5114382 milliseconds,ARIMA,8.251156017625668,5.888074843859962,6.245476160976764,6.569712400984895,8694
7624852 milliseconds,ARIMA,0.5214549784439162,0.4944992798970409,0.5440454336357128,0.47972446433250965,24415
