method,opt_time,rmse1,rmse10,rmse20,rmse5,seed
LSTM,196035,5.511581397550702,6.318892486081461,6.376653208082085,7.156084990400401,26058
LSTM,218937,0.44206603796166455,1.4653242838639282,1.2281287684427875,0.26654824801009,46189
LSTM,205891,0.8705441762189032,1.2765701087680394,1.4156970071910182,1.4655367427404873,61917
LSTM,185575,4.038377570489884,5.047976961443793,4.643676349107775,5.270764048354967,89255
LSTM,195762,2.2708857712160384,5.826006708275881,7.289619634790507,4.24949321715432,22918
LSTM,197902,5.474478066464134,6.8693446411370775,7.07728939432788,6.458936222200793,67883
LSTM,201235,6.566743856827971,8.518318320384223,8.855821868715983,8.414630402633707,96331
LSTM,204344,3.3237078088647705,6.33757154100862,7.30352093399459,5.05764475860651,69377
LSTM,207349,1.01613320329572,2.495205255258601,3.06631520404156,1.8916013260105597,49858
LSTM,208391,3.0214720007660443,3.3463356871115173,2.704048292015517,3.25567428644123,86366
LSTM,210328,8.461946798085233,8.43430361764746,7.450103878796596,9.916487115353199,54133
LSTM,213717,6.038366554907631,7.158467749581317,7.154188291334187,6.992546465049054,28020
LSTM,217587,7.994672337812857,9.085198806291428,9.002236157848973,9.14335470711161,46984
LSTM,218315,7.244728762604129,6.996736043250659,7.197419626095765,5.958592051213884,60467
23
LSTM,220156,2.5176031090758766,2.148320541304177,2.59071119548102,2.326808852356675,16025
LSTM,224410,5.999898668987338,6.902926467762418,8.047240351407511,5.708578233766718,28757
LSTM,226880,3.025924901894637,4.401919434799777,4.243606516371462,4.33279828140303,38315
LSTM,228292,4.7960617822812655,2.8207646741071586,4.079641619566757,3.2106113928427282,93091
LSTM,230992,5.2592015109566,6.3956481299425745,6.650770079082311,6.226766202671528,37085
LSTM,232692,7.360283843169139,7.32228371946085,8.249000954853367,6.047777232567266,52212
LSTM,249647,5.708036434883491,7.731114866553518,7.781144960642517,7.51529843699263,8694
LSTM,256060,4.324363741309531,7.769679800006374,8.432979091124823,6.49655559233706,96004
LSTM,256891,4.515394716023529,5.664115448580232,6.096213571117732,5.484408704623975,11007

LSTM,257976,8.085061722611592,8.887256173946994,8.882999612340535,8.978426054518359,15318
LSTM,258247,3.0747799895602874,4.462392477413517,3.374512011727945,4.253413469046171,16782
LSTM,98058,6.214636436806642,7.039069470698615,7.216292836781114,6.631890404874906,79876
LSTM,100186,1.4687358727749924,1.7013633276917155,1.8788521411533505,2.3180252108611743,91809
LSTM,279386,5.225458740320459,4.677339245700002,5.375226759973596,4.914135446385789,77471
LSTM,105394,2.9268969210780407,3.4362502625317606,3.2076724879430225,3.6218778117339356,88243
LSTM,108046,6.846357766020029,7.687150770362451,7.639871623853133,7.825863877181545,7296
LSTM,110973,2.632224971665746,6.606791921959878,7.340462071378485,5.083314004822689,27272
LSTM,112069,1.719884306659754,0.9953536768470198,1.858977986624919,1.00850111104383,93050
LSTM,296441,6.682030555702725,6.728861832562423,6.648531005551718,6.057783862090411,1322
69
LSTM,297237,5.270008992333331,4.463336725275436,3.808281221935977,4.697443626677303,97565
LSTM,110225,5.738065378444586,4.764619051329455,4.166003245355714,4.7367701984963455,91328
LSTM,111884,4.237472492792689,3.6501810556997922,4.808442294793167,3.889955084169186,19561
LSTM,109138,8.940578608795464,7.979820037230515,8.485239262744566,7.938383499460329,66214
LSTM,189938,1.174245157096296,3.5838023821455463,4.668481414738549,2.4749374433878097,18423
LSTM,215567,4.460348488722322,2.849799051922374,5.24102633298036,2.062168428402425,30563
LSTM,218613,4.977600514955999,4.959671334574256,6.34910367541582,5.455773973753181,6871
LSTM,220374,8.275037664462664,7.699813767841559,7.5052709036340515,7.464696714615756,4150
LSTM,222158,1.3992516683052614,4.655031518856195,6.391180755882576,2.4611372699524208,60590
LSTM,94681,3.8397004776966526,3.8911413339790895,4.592012435237727,4.234352594159063,9503
LSTM,225186,0.6549392052643253,1.8195214963045312,2.6496969557929493,0.8894798963240932,69686
LSTM,233322,2.4376506095971298,1.9033518389330168,1.6200786208542022,2.094737926665994,48073
LSTM,237972,1.4484467168230886,3.80656590110994,5.6109506478496955,1.5224139996334054,51568
LSTM,261014,1.4640623564094355,1.3100774444085725,1.4013113540423576,1.5413823297119054,89053
