train_size,method,rmse_1,rmse_5,rmse_10,rmse_15
70,ARIMA,0.5709,0.8512,1.3052,2.0354
70,GP,0.1837,0.669,1.1134,1.39
70,LSTM,1.2779,1.9528,2.3592,2.8208
70,RandomWalk,0.5348,0.9535,1.4097,1.686
70,UDE-NN,0.1613,0.7015,1.1774,1.4082
220,ARIMA,0.3636,0.7887,1.339,1.2439
220,GP,0.2201,0.4635,0.8439,0.8531
220,LSTM,0.8878,1.601,2.2418,2.8622
220,RandomWalk,0.3744,0.7137,1.2675,1.234
220,UDE-NN,0.2512,0.4263,0.5513,0.5534
300,ARIMA,0.2238,0.3202,0.297,0.3166
300,Alg_c,NaN,NaN,NaN,NaN
300,GP,0.3087,0.4209,0.4665,0.542
300,LSTM,0.265,0.2978,0.3128,0.3342
300,RandomWalk,0.2257,0.3092,0.3112,0.301
300,UDE-NN,0.1905,0.2418,0.2484,0.2595
