Training datasize,Method,RMSE-1,RMSE-5,RMSE-10,RMSE-15,Training Time
70,ARIMA,0.6991 ± 0.5308,1.1095 ± 0.6899,1.5939 ± 0.7876,1.9965 ± 0.9295,19.0825 ± 0.7482
70,RW,0.7306 ± 0.5703,1.1762 ± 0.6624,1.6180 ± 0.7890,1.9126 ± 0.9820,1.2718 ± 0.2904
70,LSTM,1.7004 ± 1.3782,2.2860 ± 1.4895,2.7079 ± 1.5429,3.0558 ± 1.5919,46.5212 ± 1.8263
70,UDE-NN,0.2970 ± 0.3137,0.8210 ± 0.4593,1.2692 ± 0.5717,1.5410 ± 0.7097,102.7117 ± 4.1465
70,GP,0.2665 ± 0.2725,0.7749 ± 0.4362,1.2216 ± 0.5573,1.5087 ± 0.7073,218.5121 ± 7.9669
220,ARIMA,0.5244 ± 0.5132,1.0073 ± 0.8501,1.4500 ± 1.5262,1.6656 ± 1.8499,19.9126 ± 1.1363
220,RW,0.5042 ± 0.4887,0.9667 ± 0.7980,1.4099 ± 1.4663,1.6148 ± 1.7921,1.2316 ± 0.2148
220,LSTM,1.5485 ± 1.7542,2.6068 ± 2.4797,3.3700 ± 2.8910,3.8155 ± 3.0869,57.1268 ± 4.8561
220,UDE-NN,0.2930 ± 0.2387,0.6230 ± 0.4955,1.1181 ± 1.3505,1.3236 ± 1.7676,156.4886 ± 6.6865
220,GP,0.2594 ± 0.2171,0.6485 ± 0.4743,1.2378 ± 1.3335,1.5733 ± 1.8500,747.7753 ± 23.1745
300,ARIMA,0.2888 ± 0.2505,0.4329 ± 0.5440,0.6712 ± 1.0638,0.8718 ± 1.6692,19.4220 ± 1.4906
300,RW,0.3008 ± 0.2831,0.3962 ± 0.4657,0.5779 ± 0.9082,0.7213 ± 1.4463,1.1496 ± 0.1156
300,LSTM,0.5794 ± 0.9728,1.1097 ± 1.7295,1.6406 ± 2.3991,2.0231 ± 2.8681,477.2699 ± 144.9630
300,UDE-NN,0.2543 ± 0.2297,0.4015 ± 0.6047,0.5149 ± 1.0185,0.5477 ± 1.0327,201.4430 ± 13.1188
300,GP,0.3434 ± 0.3142,1.1323 ± 1.6858,2.0372 ± 2.5976,2.5659 ± 2.9035,1254.8224 ± 44.9347
